strain	originating_lab	submitting_lab
A/Wakayama-C/107/2017	Wakayama City Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/HongKong/3630/2017	Government Virus Unit	Centers for Disease Control and Prevention
A/Florida/52/2017	Florida Department of Health-Jacksonville	Centers for Disease Control and Prevention
A/Bangladesh/3007/2017	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Bangladesh/155/2018	Institute of Epidemiology Disease Control and Research (IEDCR) & Bangladesh National Influenza Centre (NIC)	Centers for Disease Control and Prevention
A/Bhutan/742/2018	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/FrancheComte/1802/2018		Institut Pasteur
A/Srinigar/AG480/2019	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD
A/Srinigar/AG313/2019	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD
A/Finland/991/2018	Helsinki University Central Hospital, Laboratory Services (HUSLAB)	Finnish Institute for Health and Welfare, THL
A/Minnesota/58/2018	Minnesota Department of Health	Centers for Disease Control and Prevention
A/India/534/2019	National Institute of Virology	Centers for Disease Control and Prevention
A/SouthDakota/44/2018	South Dakota Public Health Lab	Centers for Disease Control and Prevention
A/SriLanka/45/2018	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Nonthaburi/329/2018	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/SriLanka/55/2018	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/NorthCarolina/36/2018	North Carolina State Laboratory of Public Health	Centers for Disease Control and Prevention
A/AbuDhabi/240/2018-egg	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/AbuDhabi/240/2018	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Shanghai/CM1292C2/2018	Shanghai Municipal Center for Disease Control and Prevention	
A/Nepal/19FL1496/2019	National Public Health Laboratory	National Institute of Infectious Diseases (NIID)
A/Beijing-Huairou/1557/2018	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Townsville/23/2018		
A/Jiangxi-Zhushan/1657/2018	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Lucheng/1951/2019	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Yongkang/1235/2019	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/HongKong/45/2019	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/HongKong/121/2019	Government Virus Unit	Centers for Disease Control and Prevention
A/DistrictOfColumbia/3/2019	DC Public Health Lab	Centers for Disease Control and Prevention
A/Mahasarakham/51/2019	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Lao/1214/2019	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention
A/Mahasarakham/116/2019	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/HongKong/2671/2019	Government Virus Unit	Crick Worldwide Influenza Centre
A/HongKong/2671/2019-egg	Centers for Disease Control and Prevention	National Institute for Biological Standards and Control (NIBSC)
A/Lao/1789/2019	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention
A/Saitama/95/2020	Saitama Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Nonthaburi/63/2020	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Cambodia/e0403374/2020	Institute Pasteur du Cambodia	WHO Collaborating Centre for Reference and Research on Influenza
A/Yunnan-Linxiang/1670/2020	Yunnan Provincial Center for Disease Control and Prevention	Yunnan Provincial Center for Disease Control and Prevention
A/Victoria/7/2020	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Yunnan-Wenshan/1269/2020	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Yunnan-Wenshan/1435/2020	Yunnan Provincial Center for Disease Control and Prevention	Yunnan Provincial Center for Disease Control and Prevention
A/Yunnan-Wenshan/1218/2021	Yunnan Provincial Center for Disease Control and Prevention	Yunnan Provincial Center for Disease Control and Prevention
A/Yunnan-Wenshan/1489/2020	Yunnan Provincial Center for Disease Control and Prevention	Yunnan Provincial Center for Disease Control and Prevention
A/Yunnan-Wenshan/1591/2020	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Shangcheng/1450/2019	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Shangcheng/1725/2019	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Sichuan-Ziliujing/16/2020	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Lucheng/11038/2019	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Yokohama/34/2020	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/HongKong/4669/2019	Government Virus Unit	Centers for Disease Control and Prevention
A/Yunnan-Chuxiong/187/2020	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Xihu/3108/2019	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Delaware/39/2019	Delaware Public Health Lab	Centers for Disease Control and Prevention
A/Oman/4518/2019	Central Public Health Laboratory, Ministry of Health	Crick Worldwide Influenza Centre
A/Bangladesh/3055/2019	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Bangladesh/1582/2019	Institute of Epidemiology Disease Control and Research (IEDCR) & Bangladesh National Influenza Centre (NIC)	Centers for Disease Control and Prevention
A/Philippines/1551/2019	Research Institute for Tropical Medicine, Virology Department	Centers for Disease Control and Prevention
A/Philippines/1372/2019	Research Institute for Tropical Medicine, Virology Department	Centers for Disease Control and Prevention
A/Kuwait/5141/2019	Public Health Laboratory, Virology Unit	Centers for Disease Control and Prevention
A/Yokohama/237/2019	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Darwin/726/2019	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Zambia/700159/2021	University Teaching Hospital, MoH Zambia	Centers for Disease Control and Prevention
A/Zambia/305/2021	University Teaching Hospital, MoH Zambia	Centers for Disease Control and Prevention
A/Kenya/143/2021	CDC-Kenya	Centers for Disease Control and Prevention
A/Pennsylvania/1026/2019-egg	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/Pennsylvania/1026/2019	Centers for Disease Control and Prevention	WHO Collaborating Centre for Reference and Research on Influenza
A/Pennsylvania/1033/2019	Pennsylvania Department of Health	Centers for Disease Control and Prevention
A/Bangladesh/18-1012/2019	Institute of Epidemiology Disease Control and Research (IEDCR) & Bangladesh National Influenza Centre (NIC)	Centers for Disease Control and Prevention
A/Nepal/20FL1005/2020	National Institute of Infectious Diseases (NIID)	Centers for Disease Control and Prevention
A/SouthAuckland/2/2020	Institute of Environmental Science and Research (ESR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Wisconsin/52/2020	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/HongKong/1101/2018	Government Virus Unit	Centers for Disease Control and Prevention
A/Lopburi/172/2018	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Chanthaburi/1363/2018	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Norway/2620/2018	WHO National Influenza Centre	Crick Worldwide Influenza Centre
A/Ireland/32025/2018	UCD National Virus Reference Laboratory	Crick Worldwide Influenza Centre
A/LaRioja/2202/2018	Instituto de Salud Carlos III	Crick Worldwide Influenza Centre
A/Santiago/38093/2018	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/Maine/46/2018	Maine Health and Environmental Testing Laboratory	Centers for Disease Control and Prevention
A/Greece/1456/19/2019	Hellenic Pasteur Institute	Crick Worldwide Influenza Centre
A/Luxembourg/19015252/2019	Laboratoire National de Santé	Laboratoire National de Santé
A/Argentina/934/2019	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Centers for Disease Control and Prevention
A/Bolivia/237/2019	Instituto Nacional de Laboratoriosde Salud (INLASA)	Centers for Disease Control and Prevention
A/Concepcion/106858/2018	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/Ecuador/1246/2018	INSPI	Centers for Disease Control and Prevention
A/Ecuador/4472/2019	INSPI	Centers for Disease Control and Prevention
A/Lisbon/niRL119/2019	Instituto Nacional de Saude (INSA)	Crick Worldwide Influenza Centre
A/Peru/3819/2019	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Centers for Disease Control and Prevention
A/Colombia/4140/2019	Instituto Nacional de Salud de Columbia	Centers for Disease Control and Prevention
A/Parma/4/2019	University of Parma	Istituto Superiore di Sanità (ISS)
A/Togo/299/2019	Institute National D'Hygiene	Centers for Disease Control and Prevention
A/Bulgaria/941/2019	National Centre of Infectious and	Crick Worldwide Influenza Centre
A/Denmark/1829/2018	Statens Serum Institute	Crick Worldwide Influenza Centre
A/Moscow/220/2018	Ivanovsky Research Institute of Virology RAMS	Centers for Disease Control and Prevention
A/Finland/92/2019	Finnish Institute for Health and Welfare, THL	Finnish Institute for Health and Welfare, THL
A/Togo/717/2019	Institute National D'Hygiene	Centers for Disease Control and Prevention
A/BurkinaFaso/1449/2019	IRSS	Centers for Disease Control and Prevention
A/Mozambique/243/2019	Laboratório de Isolamento Viral	Centers for Disease Control and Prevention
A/Kenya/130/2019	CDC-Kenya	Centers for Disease Control and Prevention
A/Togo/634/2019	Institute National D'Hygiene	Centers for Disease Control and Prevention
A/Iasi/4344/2019	Cantacuzino Institute	Cantacuzino Institute
A/Nakhonphanom/2883/2018	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Lebanon/231/2019	Rafic Hariri University Hospital 4th floor DNA/Research Lab	Centers for Disease Control and Prevention
A/StPetersburg/RII-322/2019	Russian Academy of Medical Sciences	Centers for Disease Control and Prevention
A/SaudiArabia/VRG-57/2020		
A/Mali/361/2019	NIC Lab CVD-MALI	Centers for Disease Control and Prevention
A/Nigeria/4117/2019	NCDC Public Health Reference Laboratory	Centers for Disease Control and Prevention
A/Ireland/23296/2020	UCD National Virus Reference Laboratory	Crick Worldwide Influenza Centre
A/Pordenone/241/2020	University of Trieste	Istituto Superiore di Sanità (ISS)
A/Switzerland/8482/2020	Swiss National Reference Centre for Influenza	Crick Worldwide Influenza Centre
A/Norway/2996/2019	WHO National Influenza Centre	Crick Worldwide Influenza Centre
A/Niger/7228/2019	Centre de Recherche Medicale et Sanitaire (CERMES)	Centers for Disease Control and Prevention
A/Stavropol/10/2020	WHO National Influenza Centre Russian Federation	Crick Worldwide Influenza Centre
A/Perth/20/2020-egg	New York Medical College	Centers for Disease Control and Prevention
A/Perth/20/2020	Pathwest QE II Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Togo/1973/2019	Institute National D'Hygiene	Centers for Disease Control and Prevention
A/Yokohama/68/2020	National Institute of Infectious Diseases (NIID)	Centers for Disease Control and Prevention
A/Niger/7346/2019	Centre de Recherche Medicale et Sanitaire (CERMES)	Centers for Disease Control and Prevention
A/Yokohama/291/2019	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Togo/230/2020	Institute National D'Hygiene	Centers for Disease Control and Prevention
A/SouthKorea/11906/2020	U.S. Air Force School of Aerospace Medicine	U.S. Air Force School of Aerospace Medicine
A/Zahle/358/2020	Rafic Hariri University Hospital 4th floor DNA/Research Lab	Crick Worldwide Influenza Centre
A/NewYork/21/2020	New York State Department of Health	Centers for Disease Control and Prevention
A/Santiago/26038/2020	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/Portugal/EVA225/2020	Instituto Nacional de Saude (INSA)	Crick Worldwide Influenza Centre
A/Philippines/1/2021	Research Institute of Tropical Medicine	WHO Collaborating Centre for Reference and Research on Influenza
A/Ethiopia/1055/2021	Ethiopian Public Health Institute, National Influenza Laboratory	Centers for Disease Control and Prevention
A/Ethiopia/4004/2021	Ethiopian Public Health Institute, National Influenza Laboratory	Centers for Disease Control and Prevention
A/Mali/20060/2020	NIC Lab CVD-MALI	Centers for Disease Control and Prevention
A/Grenoble/2789/2020	CNR Virus des Infections Respiratoires - France SUD	Crick Worldwide Influenza Centre
A/Togo/771/2020	Institute National D'Hygiene	Centers for Disease Control and Prevention
A/Mali/20046/2020	NIC Lab CVD-MALI	Centers for Disease Control and Prevention
A/Mali/20051/2020	NIC Lab CVD-MALI	Centers for Disease Control and Prevention
A/Nigeria/5059/2020	NCDC Public Health Reference Laboratory	Centers for Disease Control and Prevention
A/Niger/8749/2021	Centre de Recherche Medicale et Sanitaire (CERMES)	Centers for Disease Control and Prevention
A/Togo/1246/2021	Institute National D'Hygiene	Centers for Disease Control and Prevention
A/Niger/8635/2020	Centre de Recherche Medicale et Sanitaire (CERMES)	Centers for Disease Control and Prevention
A/Mali/86/2020	NIC Lab CVD-MALI	Centers for Disease Control and Prevention
A/Togo/237/2021	Institute National D'Hygiene	Centers for Disease Control and Prevention
A/Zambia/172/2021	University Teaching Hospital, MoH Zambia	Centers for Disease Control and Prevention
A/Uganda/7/2021	Infectious Diseases Research Collaboration (IDRC)	CZ Biohub
A/Uganda/210/2022	Uganda Virus Research Institute (UVRI), National Influenza Center	Centers for Disease Control and Prevention
A/Sydney/8/2021	Clinical Virology Unit, CDIM	WHO Collaborating Centre for Reference and Research on Influenza
A/Guatemala/228/2017	Laboratorio Nacional De Salud Guatemala	Centers for Disease Control and Prevention
A/Bangladesh/8007/2017	Institute of Epidemiology Disease Control and Research (IEDCR) & Bangladesh National Influenza Centre (NIC)	Centers for Disease Control and Prevention
A/Uruguay/14/2017	Departamento de Laboratorio de Salud Pública (DLSP)	Centers for Disease Control and Prevention
A/Bremen/13/2016	Robert Koch Institute Nationales Referenzzentrum für Influenza	Crick Worldwide Influenza Centre
A/SouthCarolina/4/2017	South Carolina Department of Health	Centers for Disease Control and Prevention
A/SouthAustralia/32/2017	Institute of Medical and Veterinary Science (IMVS)	WHO Collaborating Centre for Reference and Research on Influenza
A/Singapore/TT0555/2017	Ministry of Health, Singapore	Ministry of Health, Singapore
A/BosniaHerzegovina/127/2017	University of Sarajevo	Crick Worldwide Influenza Centre
A/Singapore/TT0495/2017	Ministry of Health, Singapore	Ministry of Health, Singapore
A/Yokohama/143/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Kenya/167/2018	CDC-Kenya	Centers for Disease Control and Prevention
A/Mozambique/8218/2018	Laboratório de Isolamento Viral	Centers for Disease Control and Prevention
A/SouthAfrica/R07380/2017	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/Taiwan/544/2017	Center for Disease Control	National Institute of Infectious Diseases (NIID)
A/Mozambique/309/2017	Laboratório de Isolamento Viral	Centers for Disease Control and Prevention
A/NewZealand/2337/2017	Institute of Environmental Science & Research	Centers for Disease Control and Prevention
A/Zambia/4-381/2018	University Teaching Hospital, MoH Zambia	Crick Worldwide Influenza Centre
A/SuratThani/65/2018	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Vietnam/241/2018	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Vietnam/237/2018	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Denmark/1793/2018		Statens Serum Institute
A/Iowa/60/2018	Iowa State Hygienic Laboratory	Centers for Disease Control and Prevention
A/Cambodia/e0512384/2020	Institute Pasteur du Cambodia	WHO Collaborating Centre for Reference and Research on Influenza
A/Zhejiang-Haishu/1980/2019	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Victoria/753/2018		
A/Newcastle/82/2018	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/AbuDhabi/54/2019	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Vologda/RII-1090S/2020	Center of Hygiene and Epidemiology in Vologda Oblast	WHO National Influenza Centre Russian Federation
A/Sichuan-Qingyang/11300/2019	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Yokosuka/17/2019	Yokosuka Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Netherlands/99/2019	Erasmus Medical Center	Erasmus Medical Center
A/Martinique/481/2019	National Influenza Center French Guiana and French Indies	Centers for Disease Control and Prevention
A/Yokosuka/NHRC_OID_FDX70622/2019		
A/StPetersburg/RII-300/2019	Russian Academy of Medical Sciences	Centers for Disease Control and Prevention
A/SouthAustralia/34/2019	Erasmus Medical Center	Erasmus Medical Center
A/SouthAustralia/34/2019-egg	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/Zhejiang-Nanhu/1108/2019	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Okinawa/74/2019	Okinawa Prefectural Institute of Health and Environment	National Institute of Infectious Diseases (NIID)
A/Yokosuka/57/2018	Yokosuka Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Victoria/909/2019	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Malta/516156/2019	Mater Dei Hospital	Crick Worldwide Influenza Centre
A/Yokohama/158/2019	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/MinasGerais/12710/2020	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Centers for Disease Control and Prevention
A/Saitama/176/2019	Saitama Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Yokohama/132/2019	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Montana/18/2019	Montana Laboratory Services Bureau	Centers for Disease Control and Prevention
A/ChiangRai/197/2019	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Victoria/2703/2019	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Christchurch/515/2019-egg	Canterbury Health Services	WHO Collaborating Centre for Reference and Research on Influenza
A/Wellington/8/2019	Institute of Environmental Science and Research (ESR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Wellington/27/2019	Institute of Environmental Science and Research (ESR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Nakhonphanom/498/2019	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Victoria/2859/2019	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Tokyo/19139/2019	Tokyo Metropolitan Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Wisconsin/3/2020	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Abudhabi/67/2019	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Victoria/223/2019	Victorian Infectious Diseases Reference Laboratory	WHO Collaborating Centre for Reference and Research on Influenza
A/HongKong/3055/2019	Government Virus Unit	Centers for Disease Control and Prevention
A/Lao/2461/2019	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention
A/Yasothon/384/2019	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Serbia/5270/2019	Institute of Public Health	Crick Worldwide Influenza Centre
A/VinaDelMar/82289/2019	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Hawaii/42/2019	State of Hawaii Department of Health	Centers for Disease Control and Prevention
A/Iceland/72/2019	Landspitali - University Hospital	Crick Worldwide Influenza Centre
A/Wisconsin/554/2019	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/NorthDakota/34/2019	North Dakota Department of Health	Centers for Disease Control and Prevention
A/Palermo/2/2020	Istituto Superiore di Sanità (ISS)	Crick Worldwide Influenza Centre
A/Athens/1866/2019	Hellenic Pasteur Institute	Hellenic Pasteur Institute
A/Michigan/450/2019	Michigan Department of Community Health	Centers for Disease Control and Prevention
A/Victoria/97/2019	Victorian Infectious Diseases Reference Laboratory	WHO Collaborating Centre for Reference and Research on Influenza
A/Wisconsin/557/2019	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Santiago/4891/2020	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/StEtienne/2539/2020	CNR Virus des Infections Respiratoires - France SUD	Crick Worldwide Influenza Centre
A/Portugal/MS74/2020	Instituto Nacional de Saude (INSA)	Crick Worldwide Influenza Centre
A/Switzerland/8127/2019	Swiss National Reference Centre for Influenza	Crick Worldwide Influenza Centre
A/Maldives/810/2018	Ministry of Health	Centers for Disease Control and Prevention
A/Maldives/925/2018	Ministry of Health	Centers for Disease Control and Prevention
A/CoteDIvoire/650/2019	Pasteur Institut of Côte d'Ivoire	Centers for Disease Control and Prevention
A/Kuwait/6435/2018	Public Health Laboratory, Virology Unit	Centers for Disease Control and Prevention
A/Slovenia/940/2019	Laboratory for Virology, National Institute of Public Health	Crick Worldwide Influenza Centre
A/Pakistan/1213/2019	National Institute of Health	Centers for Disease Control and Prevention
A/Oman/4262/2019	Central Public Health Laboratory, Ministry of Health	Crick Worldwide Influenza Centre
A/Qatar/16-VI-19-0049409/2019	Crick Worldwide Influenza Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/2855/2019	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Christchurch/502/2020	Canterbury Health Services	WHO Collaborating Centre for Reference and Research on Influenza
A/Abudhabi/59/2019	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Yokohama/168/2019	National Institute of Infectious Diseases (NIID)	Centers for Disease Control and Prevention
A/Michigan/437/2019	Michigan Department of Community Health	Centers for Disease Control and Prevention
A/Bhutan/162/2019	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/Bhutan/885/2019	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/SriLanka/58/2020	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/SriLanka/55/2019	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Bhutan/1095/2019	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/Kitakyushu/1/2020	National Institute of Infectious Diseases (NIID)	Centers for Disease Control and Prevention
A/Utah/53/2019	Utah Department of Health	Centers for Disease Control and Prevention
A/SriLanka/65/2020	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Bahrain/835/2019	Ministry of Health Bahrain	Centers for Disease Control and Prevention
A/Singapore/TT0043/2020	Ministry of Health, Singapore	Ministry of Health, Singapore
A/Anantnag/AG_159/2019	Sher-i-Kashmir Institute of Medical Sciences	CNR Virus des Infections Respiratoires - France SUD
A/Fujian-Xinluo/1684/2020	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/AbuDhabi/85/2019	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Yokohama/187/2019	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Philippines/25/2020	Research Institute of Tropical Medicine	WHO Collaborating Centre for Reference and Research on Influenza
A/Iceland/24506/2019	Landspitali - University Hospital	Crick Worldwide Influenza Centre
A/Saitama/92/2020	National Institute of Infectious Diseases (NIID)	Centers for Disease Control and Prevention
A/Tasmania/503/2020-egg	Hobart Pathology	WHO Collaborating Centre for Reference and Research on Influenza
A/Tasmania/503/2020	American Type Culture Collection	
A/Miyagi/2/2021	Miyagi Prefectural Institute of Public Health and Environment	National Institute of Infectious Diseases (NIID)
A/TimorLeste/17/2020	Laboratório Nacional da Saúde	WHO Collaborating Centre for Reference and Research on Influenza
A/TimorLeste/2/2020	Laboratório Nacional da Saúde	WHO Collaborating Centre for Reference and Research on Influenza
A/TimorLeste/43/2021	Laboratório Nacional da Saúde	WHO Collaborating Centre for Reference and Research on Influenza
A/TimorLeste/8/2022	Laboratório Nacional da Saúde	WHO Collaborating Centre for Reference and Research on Influenza
A/Darwin/2/2021	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Thailand/5/2021	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Cambodia/e0826360/2020	Erasmus Medical Center	Erasmus Medical Center
A/Cambodia/e0826360/2020-egg	WHO Collaborating Centre for Reference and Research on Influenza	National Institute for Biological Standards and Control (NIBSC)
A/California/55/2020	California Department of Health Services	Centers for Disease Control and Prevention
A/Cambodia/nC_106184/2020	Institute Pasteur du Cambodia	WHO Collaborating Centre for Reference and Research on Influenza
A/Vietnam/Vnhcm-Gs520/2020	Pasteur Institute, Influenza Laboratory	Centers for Disease Control and Prevention
A/Lao/1745/2020	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention
A/Lao/1421/2021	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention
A/Lao/799/2021	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention
A/Cambodia/925256/2020	Institut Pasteur du Cambodia	Crick Worldwide Influenza Centre
A/Lao/580/2021	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention
A/Vietnam/Vnhcm-Gs653/2019	Pasteur Institute, Influenza Laboratory	Centers for Disease Control and Prevention
A/Yamagata/2/2021	Yamagata Prefectural Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Guangxi-Fangcheng/11111/2021	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Guangxi/7240/2021	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Hunan-yanfeng/1305/2022	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Shangcheng/11000/2022	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Nanhu/1746/2022	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Shanghai/YP1136C2/2023	Shanghai Municipal Center for Disease Control and Prevention	
A/Hainan-Baotinglizumiaozuzizhi/35/2022	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Guangdong-Zhongshan/1443/2022	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Shangcheng/1915/2022	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-yongkang/1312/2022	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Nanhu/11082/2022	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Yunnan-Zhenxiong/51/2023	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Stockholm/2/2021	Public Health Agency of Sweden	Crick Worldwide Influenza Centre
A/Austria/1480208/2021	Department of Virology, Medical University Vienna	Medical University Vienna
A/Michigan/173/2020	Michigan Department of Community Health	Centers for Disease Control and Prevention
A/Michigan/173/2020-egg	Crick Worldwide Influenza Centre	Centers for Disease Control and Prevention
A/Nepal/21FL0201/2021	National Public Health Laboratory	National Institute of Infectious Diseases (NIID)
A/Nepal/20FL2312/2020	National Public Health Laboratory	National Institute of Infectious Diseases (NIID)
A/India/Pun-NIV290244/2021	ICMR-National Institute of Virology	ICMR-National Institute of Virology
A/Wisconsin/2/2021	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Kenya/111/2021	CDC-Kenya	Centers for Disease Control and Prevention
A/AbuDhabi/2210622842/2021	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/AbuDhabi/2210332924/2021	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Minnesota/2/2021	Minnesota Department of Health	Centers for Disease Control and Prevention
A/NewYork/2/2021	New York State Department of Health	Centers for Disease Control and Prevention
A/AbuDhabi/2211541032/2021	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
