strain	originating_lab	submitting_lab
A/Ireland/5415/2018	UCD National Virus Reference Laboratory	Crick Worldwide Influenza Centre
A/Indiana/8/2018	Indiana State Department of Health Laboratories	Centers for Disease Control and Prevention
A/Peru/6019/2019	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Centers for Disease Control and Prevention
A/Wellington/52/2019	Institute of Environmental Science and Research (ESR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Wellington/53/2019	Institute of Environmental Science and Research (ESR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Brisbane/501/2021	Queensland Health Forensic and Scientific Services	WHO Collaborating Centre for Reference and Research on Influenza
A/Finland/99/2019	Finnish Institute for Health and Welfare, THL	Crick Worldwide Influenza Centre
A/Albania/9933/2019	Institute of Public Health	Centers for Disease Control and Prevention
A/Bolivia/3906/2018	Instituto Nacional de Laboratoriosde Salud (INLASA)	Centers for Disease Control and Prevention
A/Suriname/828/2019	Central Laboratory, Bureau of Public Health	Centers for Disease Control and Prevention
A/Victoria/975/2019	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Pennsylvania/866/2019	Pennsylvania Department of Health	Centers for Disease Control and Prevention
A/Yokosuka/NHRC_OID_FDX70722/2019		
A/Argentina/1333/2019	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Centers for Disease Control and Prevention
A/Argentina/2852/2019	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Centers for Disease Control and Prevention
A/Peru/6219/2019	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Centers for Disease Control and Prevention
A/Lisbon/97/2019	Instituto Nacional de Saude (INSA)	Crick Worldwide Influenza Centre
A/Netherlands/1292/2019	Erasmus Medical Center	Erasmus Medical Center
A/Peru/6619/2019	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Centers for Disease Control and Prevention
A/Scotland/33/2019	Gart Naval General Hospital	Crick Worldwide Influenza Centre
A/Luxembourg/LNS9440568/2020	Laboratoire National de Santé	Laboratoire National de Santé
A/Victoria/2873/2019	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Parma/391/2019	Istituto Superiore di Sanità (ISS)	Crick Worldwide Influenza Centre
A/Catalonia/840918S/2019	Hospital Clínic	Hospital Clínic de Barcelona
A/Bulgaria/1576/2019	National Influenza Laboratory, Natl. Center of Inf. & Parasitic Dis	Centers for Disease Control and Prevention
A/NorthernIreland/438/2020	Regional Virus Laboratory, Microbiology Department, Royal Victoria Hospital	Crick Worldwide Influenza Centre
A/Victoria/79/2020	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Netherlands/94/2020	Erasmus Medical Center	Erasmus Medical Center
A/BosniaHerzegovina/360/2020	University of Sarajevo	Crick Worldwide Influenza Centre
A/Singapore/22/2012	Ministry of Health, Singapore	WHO Collaborating Centre for Reference and Research on Influenza
A/Tokyo/34059/2014	Tokyo Metropolitan Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Thailand/CU-H3689/2015		
A/Sydney/66/2014	Prince of Wales Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Thailand/CU-H3649/2014		
A/Bangladesh/1010/2017	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Victoria/2018/2017	Alfred Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Indonesia/Nihrd-Pal350/2017	Ministry of Health, NIHRD	Centers for Disease Control and Prevention
A/Singapore/TT0096/2017	Ministry of Health, Singapore	Ministry of Health, Singapore
A/Yokohama/139/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Bermuda/362/2017	Caribbean Epidemiology Center	Centers for Disease Control and Prevention
A/Yokohama/31/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Honduras/188/2017	Laboratorio Nacional de Virologia	Centers for Disease Control and Prevention
A/Vermont/3/2014	Vermont Department of Health Laboratory	Centers for Disease Control and Prevention
A/SriLanka/72/2014	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/SriLanka/1/2015	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/SriLanka/64/2014	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Ukraine/501/2014	Institute of Epidemiology and Infectious Diseases AMS of Ukraine	National Institute for Medical Research
A/HongKong/5739/2014	Government Virus Unit	National Institute for Medical Research
A/HongKong/4801/2014	Erasmus Medical Center	Erasmus Medical Center
A/HongKong/4801/2014-egg	St Jude Children's Research Hospital	St. Jude Children's Research Hospital
A/Wisconsin/14/2014	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Thailand/CU-B11065/2014		
A/Hawaii/47/2014	State of Hawaii Department of Health	Centers for Disease Control and Prevention
A/England/44080181/2014	UK Health Security Agency - Colindale	UK Health Security Agency - Colindale
A/Tocantins/4622/2015	Instituto Adolfo Lutz	Instituto Adolfo Lutz
A/SaoPaulo/9-134/2014	Instituto Adolfo Lutz	Instituto Adolfo Lutz
A/Finland/520/2015	Finnish Institute for Health and Welfare, THL	Finnish Institute for Health and Welfare, THL
A/FrancheComte/2198/2014	Institut Pasteur	Institut Pasteur
A/Ordu/1603/2014	Refik Saydam National Public Health Agency	Crick Worldwide Influenza Centre
A/Vietnam/171/2015	Pasteur Institute, Influenza Laboratory	National Institute of Infectious Diseases (NIID)
